TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.78497	0	0.468	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02992238
42424.78503	0	0.467	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02981812
42424.78509	0	0.467	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02969635
42424.78515	0	0.466	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02954157
42424.78521	0	0.465	-0.40		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02936605
42424.78526	0	0.465	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02918757
42424.78532	0	0.464	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02899098
42424.78538	0	0.464	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02877639
42424.78544	0	0.463	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02854361
42424.78550	0	0.463	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02829261
42424.78555	0	0.462	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02802339
42424.78561	0	0.462	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02773609
42424.78567	0	0.461	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02743055
42424.78573	0	0.460	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02710674
42424.78579	0	0.460	-0.41		0	26.8	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02676443
42424.78585	0	0.459	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02640362
42424.78590	0	0.459	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02602433
42424.78596	0	0.458	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02562638
42424.78602	0	0.458	-0.41		0	26.9	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.7	0	0	-0.02520982
